contradiction_id,node_id_1,node_id_2,relationship_type,description,conflicting_sources,resolution_status
CONTR_325,,,contradicts,Неполное химическое превращение и неустойчивая детонация современных ПВВ при производстве взрывных работ в реальных условиях горного производства.,ГП № 6-2024.pdf,open
CONTR_326,,,contradicts,,ГП № 6-2024.pdf,open
CONTR_327,,,contradicts,,ГП № 6-2024.pdf,open
CONTR_328,,,contradicts,Влияние увеличения веса единовременно взрываемого ПВВ на нагрузку на атмосферу,ГП № 6-2024.pdf,open
CONTR_329,,,contradicts,,ГП № 6-2024.pdf,open
CONTR_330,,,contradicts,Противоречия в научных взглядах на торфяную науку и технику,ГП № 6-2024.pdf,open
CONTR_331,,,contradicts,Разные способы добычи торфа имеют свои преимущества и недостатки,ГП № 6-2024.pdf,open
CONTR_332,,,contradicts,Существующие критерии и методы прогноза опасности горных ударов недостаточно надежны.,ГП № 6-2024.pdf,open
CONTR_333,,,contradicts,Нет противоречий в тексте,ГП № 6-2024.pdf,open
CONTR_334,,,contradicts,Сложность прогнозирования удароопасности массива горных пород месторождения,ГП № 6-2024.pdf,open
CONTR_335,,,contradicts,Отсутствие первичных данных испытаний и координат отобранных проб для многих месторождений,ГП № 6-2024.pdf,open
CONTR_336,,,contradicts,Зависимость удароопасности от прочности горных пород,ГП № 6-2024.pdf,open
CONTR_337,,,contradicts,Неэффективность текущего подхода к нормированию периодичности капитального ремонта,ГП № 6-2024.pdf,open
CONTR_338,,,contradicts,,ГП № 6-2024.pdf,open
CONTR_339,,,contradicts,,ГП № 6-2024.pdf,open
CONTR_340,,,contradicts,,ГП № 6-2024.pdf,open
CONTR_341,,,contradicts,,ГП № 6-2024.pdf,open
CONTR_342,,,contradicts,,ГП № 6-2024.pdf,open
CONTR_343,,,contradicts,,ГП № 6-2024.pdf,open
CONTR_344,,,contradicts,Необходимость маневрирования техническими параметрами БВР в пределах одного месторождения,ГП № 6-2024.pdf,open
CONTR_345,,,contradicts,,ГП № 6-2024.pdf,open
CONTR_346,,,contradicts,,ГП № 6-2024.pdf,open
CONTR_347,,,contradicts,,ГП № 6-2024.pdf,open
CONTR_348,,,contradicts,,ГП № 6-2024.pdf,open
CONTR_349,,,contradicts,,ГП № 6-2024.pdf,open
CONTR_350,,,contradicts,,ГП № 6-2024.pdf,open
CONTR_351,,,contradicts,,ГП № 6-2024.pdf,open
CONTR_352,,,contradicts,,ГП № 6-2024.pdf,open
CONTR_353,,,contradicts,,ГП № 6-2024.pdf,open
CONTR_354,,,contradicts,Снижение скорости детонации относительно заявленных характеристик,ГП № 6-2024.pdf,open
CONTR_355,,,contradicts,"Отсутствие сравнительных исследований взрывчатых свойств ПЭВВ, получаемых на основе эмульсионных кондиционных полуфабрикатов и полученных из регенератов",ГП № 6-2024.pdf,open
CONTR_356,,,contradicts,,ГП № 6-2024.pdf,open
CONTR_357,,,contradicts,Выбор между максимизирующим и усредняющим пулингом зависит от конкретной задачи и типа угольных пород,ГП № 6-2024.pdf,open
CONTR_358,,,contradicts,использование концентрированной соляной кислоты требует дополнительных мер по защите от агрессивного воздействия,ГП № 6-2024.pdf,open
CONTR_359,,,contradicts,Неверно подобранные растворы ПАВ могут снижать эффективность разупрочняющих процессов или оказывать противоположное действие,ГП № 6-2024.pdf,open
CONTR_360,,,contradicts,,ГП № 6-2024.pdf,open
CONTR_361,,,contradicts,Нет противоречий,ГП № 6-2024.pdf,open
CONTR_362,,,contradicts,,ГП № 6-2024.pdf,open
CONTR_363,,,contradicts,Противоречия между необходимостью использования угля для выработки теплоэнергии и негативным влиянием этого процесса на окружающую среду.,ГП № 6-2024.pdf,open
CONTR_364,,,contradicts,Противоречий в тексте не обнаружено,ГП № 6-2024.pdf,open
CONTR_365,,,contradicts,Необходимость корректировки схем углеснабжения в арктических территориях,ГП № 6-2024.pdf,open
CONTR_366,,,contradicts,,ГП № 6-2024.pdf,open
CONTR_367,,,contradicts,,ГП № 6-2024.pdf,open
CONTR_368,,,contradicts,"Планы по лесовосстановлению выполняются на 100%, но являются несопоставимо маленькими относительно требуемых объёмов",ГП № 6-2024.pdf,open
CONTR_369,,,contradicts,Нормативные потери и пылевидные выбросы от угольной продукции не всегда отражают фактические показатели.,ГП № 6-2024.pdf,open
CONTR_370,,,contradicts,Неполное использование потенциала лесных ресурсов Тувы.,ГП № 6-2024.pdf,open
CONTR_371,,,contradicts,,ГП № 6-2024.pdf,open
CONTR_372,,,contradicts,"Необходимость разработки устройства для натяжения АК, адаптированного к условиям выполнения работ в шахте",ГП № 6-2024.pdf,open
CONTR_373,,,contradicts,Нет противоречий,ГП № 6-2024.pdf,open
CONTR_374,,,contradicts,Невозможность выделения тонкой фракции посредством пневмосепарации при перевалке рудной массы с повышенной влажностью,ГП № 6-2024.pdf,open
CONTR_375,,,contradicts,"Автор признает, что подобные исследования были проведены только в одной скважине и на одной площади, что позволяет говорить о получении только предположительного количественного результата.",ГП № 6-2024.pdf,open
CONTR_376,,,contradicts,,ГП № 6-2024.pdf,open
CONTR_377,,,contradicts,Фактическая несущая способность открытого ствола часто оказывается выше расчётной величины гидроразрыва пород,ГП № 6-2024.pdf,open
CONTR_378,,,contradicts,Отсутствие единого определения BigData в горном деле,ГП № 6-2024.pdf,open
CONTR_379,,,contradicts,,ГП № 6-2024.pdf,open
CONTR_380,,,contradicts,Нет противоречий,ГП № 6-2024.pdf,open
CONTR_381,,,contradicts,,ГП № 1-2025.pdf,open
CONTR_382,,,contradicts,"Санкции привели к прекращению поставок западной карьерной техники, но некоторые поставщики продолжили свою деятельность, ограничив свои возможности.",ГП № 1-2025.pdf,open
CONTR_383,,,contradicts,Инертность и консерватизм системы высшего образования противоречат стремительному развитию интеллектуальных систем управления и цифровой трансформации.,ГП № 1-2025.pdf,open
CONTR_384,,,contradicts,,ГП № 1-2025.pdf,open
CONTR_385,,,contradicts,"Предполагалось, что с углублением карьера затраты будут снижаться, но практически это предположение не подтвердилось.",ГП № 1-2025.pdf,open
CONTR_386,,,contradicts,"Правило Л.Д. Шевякова, разработанное для подземных работ, имеет свои ограничения для карьерных условий",ГП № 1-2025.pdf,open
CONTR_387,,,contradicts,Противоречия в оценке запасов алмазов на месторождении трубки Мир,ГП № 1-2025.pdf,open
CONTR_388,,,contradicts,,ГП № 1-2025.pdf,open
CONTR_389,,,contradicts,Форма рудного тела на глубоких горизонтах,ГП № 1-2025.pdf,open
CONTR_390,,,contradicts,,ГП № 1-2025.pdf,open
CONTR_391,,,contradicts,,ГП № 1-2025.pdf,open
CONTR_392,,,contradicts,,ГП № 1-2025.pdf,open
CONTR_393,,,contradicts,Отсутствие единой методики сбора данных для угольных месторождений,ГП № 1-2025.pdf,open
CONTR_394,,,contradicts,,ГП № 1-2025.pdf,open
CONTR_395,,,contradicts,,ГП № 1-2025.pdf,open
CONTR_396,,,contradicts,,ГП № 1-2025.pdf,open
CONTR_397,,,contradicts,Ограничение скорости движения вызывает дискуссии,ГП № 1-2025.pdf,open
CONTR_398,,,contradicts,Противоречие между применяемыми нормативными инструкциями и рекомендациями по безопасному ведению горных работ и необходимостью изменения парадигмы приращения знаний о технологических причинах горных ударов и внезапных выбросов метана из угольного пласта.,ГП № 1-2025.pdf,open
CONTR_399,,,contradicts,Противоречие в определении места горного удара,ГП № 1-2025.pdf,open
CONTR_400,,,contradicts,Противоречие в определении коэффициента удароопасности угольных пластов,ГП № 1-2025.pdf,open
CONTR_401,,,contradicts,Противоречие в определении причин горных ударов и выбросов метана,ГП № 1-2025.pdf,open
CONTR_402,,,contradicts,,ГП № 1-2025.pdf,open
CONTR_403,,,contradicts,,ГП № 1-2025.pdf,open
CONTR_404,,,contradicts,,ГП № 1-2025.pdf,open
CONTR_405,,,contradicts,,ГП № 1-2025.pdf,open
CONTR_406,,,contradicts,,ГП № 1-2025.pdf,open
CONTR_407,,,contradicts,Противоречий в тексте не обнаружено,ГП № 1-2025.pdf,open
CONTR_408,,,contradicts,Хрупкость теплоизоляционного покрытия из льда требует контроля качества при намораживании и эксплуатации,ГП № 1-2025.pdf,open
CONTR_409,,,contradicts,Противоречие между восприятием необходимости процедуры выдачи наряда и её фактическим применением,ГП № 1-2025.pdf,open
CONTR_410,,,contradicts,,ГП № 1-2025.pdf,open
CONTR_411,,,contradicts,Нет противоречий,ГП № 1-2025.pdf,open
CONTR_412,,,contradicts,,ГП № 1-2025.pdf,open
CONTR_413,,,contradicts,,ГП № 1-2025.pdf,open
CONTR_414,,,contradicts,,ГП № 1-2025.pdf,open
CONTR_415,,,contradicts,,ГП № 1-2025.pdf,open
CONTR_416,,,contradicts,,ГП № 1-2025.pdf,open
CONTR_417,,,contradicts,,ГП № 1-2025.pdf,open
CONTR_418,,,contradicts,Противоречий в тексте не обнаружено,ГП № 1-2025.pdf,open
CONTR_419,,,contradicts,,ГП № 1-2025.pdf,open
CONTR_420,,,contradicts,Большинство существующих моделей ориентировано на решение узкоспециализированных задач и не обеспечивает комплексной оптимизации транспортных процессов,ГП № 1-2025.pdf,open
CONTR_421,,,contradicts,,ГП № 1-2025.pdf,open
CONTR_422,,,contradicts,Противоречие между коммерческой выгодой и повышением энергобезопасности труднодоступных территорий при освоении месторождений,ГП № 1-2025.pdf,open
CONTR_423,,,contradicts,Отсутствие значимых альтернатив твёрдому топливу в арктических районах Якутии,ГП № 1-2025.pdf,open
CONTR_424,,,contradicts,,ГП № 1-2025.pdf,open
CONTR_425,,,contradicts,,ГП № 1-2025.pdf,open
CONTR_426,,,contradicts,Разночтения в понимании концепции синергетического управления,ГП № 1-2025.pdf,open
CONTR_427,,,contradicts,,ГП № 1-2025.pdf,open
CONTR_428,,,contradicts,,ГП № 1-2025.pdf,open
CONTR_429,,,contradicts,,ГП № 1-2025.pdf,open
CONTR_430,,,contradicts,Отсутствие своевременных мер по предотвращению притока воды привело к неконтролируемому притоку рассолов на руднике Березниковского рудоуправления №1 ОАО «Уралкалий»,ГП № 1-2025.pdf,open
CONTR_431,,,contradicts,,ГП № 1-2025.pdf,open
CONTR_432,,,contradicts,,ГП № 1-2025.pdf,open
CONTR_433,,,contradicts,Отсутствие целостных методик построения МАС для оптимизации всего цикла вскрышных работ с учетом принципов устойчивого развития.,ГП № 1-2025.pdf,open
CONTR_434,,,contradicts,,ГП № 1-2025.pdf,open
CONTR_435,,,contradicts,Противоречия в применении ГМО в горнодобывающей сфере,ГП № 1-2025.pdf,open
CONTR_436,,,contradicts,Нет противоречий,ГП № 1-2025.pdf,open
CONTR_437,,,contradicts,,ГП № 1-2025.pdf,open
CONTR_438,,,contradicts,,ГП № 1-2025.pdf,open
CONTR_439,,,contradicts,,ГП № 2-2025.pdf,open
CONTR_440,,,contradicts,,ГП № 2-2025.pdf,open
CONTR_441,,,contradicts,,ГП № 2-2025.pdf,open
CONTR_442,,,contradicts,,ГП № 2-2025.pdf,open
CONTR_443,,,contradicts,,ГП № 2-2025.pdf,open
CONTR_444,,,contradicts,,ГП № 2-2025.pdf,open
CONTR_445,,,contradicts,Снижение эффективности бурения в России и рост в США,ГП № 2-2025.pdf,open
CONTR_446,,,contradicts,,ГП № 2-2025.pdf,open
CONTR_447,,,contradicts,,ГП № 2-2025.pdf,open
CONTR_448,,,contradicts,,ГП № 2-2025.pdf,open
CONTR_449,,,contradicts,Отсутствие единой системы учета данных по количеству и причинам несчастных случаев на производстве в угольной отрасли,ГП № 2-2025.pdf,open
CONTR_450,,,contradicts,,ГП № 2-2025.pdf,open
CONTR_451,,,contradicts,Нет противоречий в тексте,ГП № 2-2025.pdf,open
CONTR_452,,,contradicts,,ГП № 2-2025.pdf,open
CONTR_453,,,contradicts,Проблема накопления солеотходов при разработке месторождений калийных и магниевых солей,ГП № 2-2025.pdf,open
CONTR_454,,,contradicts,Нет противоречий,ГП № 2-2025.pdf,open
CONTR_455,,,contradicts,Сравнение технологии формирования монолитного закладочного массива и технологии транспортирования гидропульпы по трубопроводу,ГП № 2-2025.pdf,open
CONTR_456,,,contradicts,Отсутствие консенсусных оценок эффектов внедрения новых технологий в угольной промышленности.,ГП № 2-2025.pdf,open
CONTR_457,,,contradicts,,ГП № 2-2025.pdf,open
CONTR_458,,,contradicts,,ГП № 2-2025.pdf,open
CONTR_459,,,contradicts,,ГП № 2-2025.pdf,open
CONTR_460,,,contradicts,,ГП № 2-2025.pdf,open
CONTR_461,,,contradicts,Разница между натурно и лабораторно определенными скоростями,ГП № 2-2025.pdf,open
CONTR_462,,,contradicts,,ГП № 2-2025.pdf,open
CONTR_463,,,contradicts,Противоречий в тексте не обнаружено,ГП № 2-2025.pdf,open
CONTR_464,,,contradicts,,ГП № 2-2025.pdf,open
CONTR_465,,,contradicts,Разночтения в терминологии и трактовках ключевых понятий облачных вычислений применительно к специфике горного дела,ГП № 2-2025.pdf,open
CONTR_466,,,contradicts,Нет противоречий,ГП № 2-2025.pdf,open
CONTR_467,,,contradicts,,ГП № 2-2025.pdf,open
CONTR_468,,,contradicts,Низкие дебиты метана и высокие материальные затраты на реализацию способов дегазации угольных пластов,ГП № 2-2025.pdf,open
CONTR_469,,,contradicts,Практическое применение нейронных сетей для вибродиагностики горного оборудования сопряжено с рядом нерешенных проблем.,ГП № 2-2025.pdf,open
CONTR_470,,,contradicts,,ГП № 2-2025.pdf,open
CONTR_471,,,contradicts,Методологические ограничения результатов,ГП № 2-2025.pdf,open
CONTR_472,,,contradicts,Отсутствие единых стандартов оценки точности и эффективности моделей прогнозирования смещения грунта.,ГП № 2-2025.pdf,open
CONTR_473,,,contradicts,,ГП № 2-2025.pdf,open
CONTR_474,,,contradicts,,ГП № 2-2025.pdf,open
CONTR_475,,,contradicts,Недостаточная проработка процессов трансфера теплоты с помощью геотермальных термосифонов,ГП № 2-2025.pdf,open
CONTR_476,,,contradicts,,ГП № 2-2025.pdf,open
CONTR_477,,,contradicts,Медленные темпы почвообразования и необходимость увеличения темпов рекультивации,ГП № 2-2025.pdf,open
CONTR_478,,,contradicts,,ГП № 2-2025.pdf,open
CONTR_479,,,contradicts,,ГП № 2-2025.pdf,open
CONTR_480,,,contradicts,,ГП № 2-2025.pdf,open
CONTR_481,,,contradicts,,ГП № 2-2025.pdf,open
CONTR_482,,,contradicts,,ГП № 2-2025.pdf,open
CONTR_483,,,contradicts,,ГП № 2-2025.pdf,open
CONTR_484,,,contradicts,Неопределённость в отношении реального влияния цифровых технологий на показатели операционной деятельности горнодобывающих предприятий,ГП № 2-2025.pdf,open
CONTR_485,,,contradicts,,ГП № 2-2025.pdf,open
CONTR_486,,,contradicts,,ГП № 2-2025.pdf,open
CONTR_487,,,contradicts,Нет противоречий в тексте,ГП № 2-2025.pdf,open
CONTR_488,,,contradicts,,ГП № 2-2025.pdf,open
CONTR_489,,,contradicts,Нет противоречий,ГП № 2-2025.pdf,open
CONTR_490,,,contradicts,,ГП № 2-2025.pdf,open
CONTR_491,,,contradicts,Нет противоречий,ГП № 2-2025.pdf,open
CONTR_492,,,contradicts,Отсутствие единого понятийного аппарата в сфере цифровизации горного дела,ГП № 2-2025.pdf,open
CONTR_493,,,contradicts,Большинство исследований носят узконаправленный характер,ГП № 2-2025.pdf,open
CONTR_494,,,contradicts,Практически не изучены возможности применения распределенных систем управления для литиевых месторождений,ГП № 2-2025.pdf,open
CONTR_495,,,contradicts,,ГП № 2-2025.pdf,open
CONTR_496,,,contradicts,,ГП № 2-2025.pdf,open
CONTR_497,,,contradicts,,ГП № 2-2025.pdf,open
CONTR_498,,,contradicts,,ГП № 2-2025.pdf,open
CONTR_499,,,contradicts,недостаточно изучены возможности интеграции СНС и рой-ориентированных методов в рамках единой системы картирования,ГП № 2-2025.pdf,open
CONTR_500,,,contradicts,слабо исследованы экономические и экологические эффекты внедрения автоматизированных решений в реальных условиях геологоразведочных проектов,ГП № 2-2025.pdf,open
CONTR_501,,,contradicts,,ГП № 2-2025.pdf,open
CONTR_502,,,contradicts,,ГП № 3-2025.pdf,open
CONTR_503,,,contradicts,,ГП № 3-2025.pdf,open
CONTR_504,,,contradicts,,ГП № 3-2025.pdf,open
CONTR_505,,,contradicts,,ГП № 3-2025.pdf,open
CONTR_506,,,contradicts,,ГП № 3-2025.pdf,open
CONTR_507,,,contradicts,,ГП № 3-2025.pdf,open
CONTR_508,,,contradicts,,ГП № 3-2025.pdf,open
CONTR_509,,,contradicts,,ГП № 3-2025.pdf,open
CONTR_510,,,contradicts,Ограничения возможностей буровых станков открытого типа не позволили в полной мере реализовать трехъярусную открыто-подземную разработку месторождений КМА.,ГП № 3-2025.pdf,open
CONTR_511,,,contradicts,,ГП № 3-2025.pdf,open
CONTR_512,,,contradicts,,ГП № 3-2025.pdf,open
CONTR_513,,,contradicts,Различия во мнениях специалистов о сроках перехода на роботизированную технику.,ГП № 3-2025.pdf,open
CONTR_514,,,contradicts,Традиционные методы определения вертикальности зданий неэффективны и не соответствуют требованиям строительства.,ГП № 3-2025.pdf,open
CONTR_515,,,contradicts,Противоречий в тексте не обнаружено.,ГП № 3-2025.pdf,open
CONTR_516,,,contradicts,,ГП № 3-2025.pdf,open
CONTR_517,,,contradicts,,ГП № 3-2025.pdf,open
CONTR_518,,,contradicts,,ГП № 3-2025.pdf,open
CONTR_519,,,contradicts,В горнодобывающей отрасли остаются нерешенными вопросы организации исследований рынка в технологической сфере,ГП № 3-2025.pdf,open
CONTR_520,,,contradicts,Слабая корреляция между внедрением экологичных технологий и финансовыми показателями,ГП № 3-2025.pdf,open
CONTR_521,,,contradicts,,ГП № 3-2025.pdf,open
CONTR_522,,,contradicts,Нет противоречий,ГП № 3-2025.pdf,open
CONTR_523,,,contradicts,,ГП № 3-2025.pdf,open
CONTR_524,,,contradicts,,ГП № 3-2025.pdf,open
CONTR_525,,,contradicts,,ГП № 3-2025.pdf,open
CONTR_526,,,contradicts,,ГП № 3-2025.pdf,open
CONTR_527,,,contradicts,,ГП № 3-2025.pdf,open
CONTR_528,,,contradicts,"Несмотря на исследования процессов соударения и машин ударного действия, практическое применение этих исследований в существующих гидромолотах не нашло",ГП № 3-2025.pdf,open
CONTR_529,,,contradicts,,ГП № 3-2025.pdf,open
CONTR_530,,,contradicts,,ГП № 3-2025.pdf,open
CONTR_531,,,contradicts,,ГП № 3-2025.pdf,open
CONTR_532,,,contradicts,,ГП № 3-2025.pdf,open
CONTR_533,,,contradicts,,ГП № 3-2025.pdf,open
CONTR_534,,,contradicts,,ГП № 3-2025.pdf,open
CONTR_535,,,contradicts,,ГП № 3-2025.pdf,open
CONTR_536,,,contradicts,,ГП № 3-2025.pdf,open
CONTR_537,,,contradicts,Вероятность невыполнения договорных обязательств по поставке угля,ГП № 3-2025.pdf,open
CONTR_538,,,contradicts,Низкая эффективность производства вскрышных работ с помощью транспортно-отвального комплекса,ГП № 3-2025.pdf,open
CONTR_539,,,contradicts,,ГП № 3-2025.pdf,open
CONTR_540,,,contradicts,Разночтение в определении «эффективности обучения»,ГП № 3-2025.pdf,open
CONTR_541,,,contradicts,Изменчивость физико-механических свойств горных пород и внешних воздействий,ГП № 3-2025.pdf,open
CONTR_542,,,contradicts,,ГП № 3-2025.pdf,open
CONTR_543,,,contradicts,Вопросы возникновения трещин растяжения и сдвига в скальных крепях применительно к контролю их несущей способности для обеспечения безопасности горных работ изучены недостаточно.,ГП № 3-2025.pdf,open
CONTR_544,,,contradicts,Вариабельность физико-механических свойств горных пород и воздействий на них предопределяет необходимость продолжения исследований.,ГП № 3-2025.pdf,open
CONTR_545,,,contradicts,,ГП № 3-2025.pdf,open
CONTR_546,,,contradicts,"Существуют различные мнения по поводу распределения разноразмерных кусков в развале, в том числе и негабарита.",ГП № 3-2025.pdf,open
CONTR_547,,,contradicts,,ГП № 3-2025.pdf,open
CONTR_548,,,contradicts,Ограниченная применимость ситового анализа для производственных взрывных работ,ГП № 3-2025.pdf,open
CONTR_549,,,contradicts,,ГП № 3-2025.pdf,open
CONTR_550,,,contradicts,,ГП № 3-2025.pdf,open
CONTR_551,,,contradicts,,ГП № 3-2025.pdf,open
CONTR_552,,,contradicts,Противоречий в тексте не обнаружено,ГП № 3-2025.pdf,open
CONTR_553,,,contradicts,Отсутствие учета сейсмовзрывного воздействия на приконтурный массив в федеральных нормах и правилах.,ГП № 3-2025.pdf,open
CONTR_554,,,contradicts,Различия в оценке сейсмовзрывного воздействия на здания и сооружения по разным методикам,ГП № 3-2025.pdf,open
CONTR_555,,,contradicts,,ГП № 3-2025.pdf,open
CONTR_556,,,contradicts,,ГП № 3-2025.pdf,open
CONTR_557,,,contradicts,"Несмотря на определение сейсмобезопасного расстояния по распространенному на практике методу, следует ожидать возникновения частотного резонанса как в ближней зоне взрыва, так и в дальней зоне взрыва.",ГП № 3-2025.pdf,open
CONTR_558,,,contradicts,Противоречие между производственными задачами и задачами обеспечения безопасности производства.,ГП № 3-2025.pdf,open
CONTR_559,,,contradicts,Отсутствие учета амплитудно-частотных характеристик сейсмовзрывной волны в существующих критериях оценки сейсмовзрывного воздействия,ГП № 3-2025.pdf,open
CONTR_560,,,contradicts,Сопоставление оценок анкетируемых и фактического уровня травматизма на Лучегорском угольном разрезе,ГП № 3-2025.pdf,open
CONTR_561,,,contradicts,,ГП № 3-2025.pdf,open
CONTR_562,,,contradicts,,ГП № 3-2025.pdf,open
CONTR_563,,,contradicts,Отсутствие комплексной методологии оценки эффективности интеллектуальных систем управления с учетом специфических условий угольной промышленности,ГП № 3-2025.pdf,open
CONTR_564,,,contradicts,Недостаточная изученность вопросов кибербезопасности интеллектуальных шахт и их устойчивости к внешним угрозам в условиях критической инфраструктуры,ГП № 3-2025.pdf,open
CONTR_565,,,contradicts,Слабая проработка механизмов адаптации существующей регулятивной базы к требованиям автономных горнодобывающих систем,ГП № 3-2025.pdf,open
CONTR_566,,,contradicts,Отсутствие системного понимания социально-экономических последствий автоматизации для трудовых ресурсов угольной отрасли,ГП № 3-2025.pdf,open
CONTR_567,,,contradicts,Расхождение в представлениях о влиянии упорядоченности процессов на безопасность и производительность,ГП № 3-2025.pdf,open
CONTR_568,,,contradicts,Различия в стратегиях и темпах внедрения цифровых технологий в угольной промышленности между странами.,ГП № 3-2025.pdf,open
CONTR_569,,,contradicts,Нет противоречий в тексте,ГП № 3-2025.pdf,open
CONTR_570,,,contradicts,,ГП № 3-2025.pdf,open
CONTR_571,,,contradicts,,ГП № 3-2025.pdf,open
CONTR_572,,,contradicts,,ГП № 3-2025.pdf,open
CONTR_573,,,contradicts,Нет противоречий,ГП № 3-2025.pdf,open
CONTR_574,,,contradicts,,ГП № 3-2025.pdf,open
CONTR_575,,,contradicts,,ГП № 3-2025.pdf,open
CONTR_576,,,contradicts,,ГП № 3-2025.pdf,open
CONTR_577,,,contradicts,Несоответствие в темпах роста переработки и итоговом объёме производства золота,ГП № 3-2025.pdf,open
CONTR_578,,,contradicts,Противоречие между высокой механизацией основных процессов и сохранением ручного труда на вспомогательных операциях,ГП № 3-2025.pdf,open
CONTR_579,,,contradicts,,ГП № 3-2025.pdf,open
CONTR_580,,,contradicts,,ГП № 3-2025.pdf,open
CONTR_581,,,contradicts,,ГП № 3-2025.pdf,open
CONTR_582,,,contradicts,,ГП № 4-2025.pdf,open
CONTR_583,,,contradicts,"Традиционно геотехника рассматривалась как вспомогательная дисциплина, но сейчас она становится стратегическим фактором.",ГП № 4-2025.pdf,open
CONTR_584,,,contradicts,,ГП № 4-2025.pdf,open
CONTR_585,,,contradicts,,ГП № 4-2025.pdf,open
CONTR_586,,,contradicts,,ГП № 4-2025.pdf,open
CONTR_587,,,contradicts,,ГП № 4-2025.pdf,open
CONTR_588,,,contradicts,,ГП № 4-2025.pdf,open
CONTR_589,,,contradicts,"Существующие методы определения скорости детонации имеют недостатки, в то время как рефлектометрический метод выглядит перспективным.",ГП № 4-2025.pdf,open
CONTR_590,,,contradicts,,ГП № 4-2025.pdf,open
CONTR_591,,,contradicts,,ГП № 4-2025.pdf,open
CONTR_592,,,contradicts,,ГП № 4-2025.pdf,open
CONTR_593,,,contradicts,Отсутствие надежных данных о химическом составе топливной фазы и составе продуктов взрыва ЭВВ.,ГП № 4-2025.pdf,open
CONTR_594,,,contradicts,,ГП № 4-2025.pdf,open
CONTR_595,,,contradicts,"Неполноценное использование АСУ ГР может ограничить работу только сбором статистических данных, в то время как основной экономический эффект от внедрения АСУ ГР достигается именно за счет сценарного использования системы.",ГП № 4-2025.pdf,open
CONTR_596,,,contradicts,Проблемы с использованием АСУ ГР,ГП № 4-2025.pdf,open
CONTR_597,,,contradicts,,ГП № 4-2025.pdf,open
CONTR_598,,,contradicts,,ГП № 4-2025.pdf,open
CONTR_599,,,contradicts,Влияние человеческого фактора на эффективность взрывных работ,ГП № 4-2025.pdf,open
CONTR_600,,,contradicts,,ГП № 4-2025.pdf,open
CONTR_601,,,contradicts,Различия во взглядах на возможности отечественных производителей горного оборудования,ГП № 4-2025.pdf,open
CONTR_602,,,contradicts,,ГП № 4-2025.pdf,open
CONTR_603,,,contradicts,,ГП № 4-2025.pdf,open
CONTR_604,,,contradicts,,ГП № 4-2025.pdf,open
CONTR_605,,,contradicts,,ГП № 4-2025.pdf,open
CONTR_606,,,contradicts,Вопросы выбора параметров связей конечной жёсткости и их калибровки остаются нерешёнными.,ГП № 4-2025.pdf,open
CONTR_607,,,contradicts,,ГП № 4-2025.pdf,open
CONTR_608,,,contradicts,Противоречий в тексте не обнаружено,ГП № 4-2025.pdf,open
CONTR_609,,,contradicts,Проблемы с методической базой по проектированию вентиляции,ГП № 4-2025.pdf,open
CONTR_610,,,contradicts,Противоречие в определении лобового аэродинамического сопротивления,ГП № 4-2025.pdf,open
CONTR_611,,,contradicts,Различия в классификации аэродинамических сопротивлений в России и за рубежом,ГП № 4-2025.pdf,open
CONTR_612,,,contradicts,"Сомнения в рекомендациях Руководства по проектированию вентиляции угольных шахт относительно величины общего шахтного аэродинамического сопротивления, обусловленного местными потерями",ГП № 4-2025.pdf,open
CONTR_613,,,contradicts,Противоречие в классификации аэродинамических сопротивлений,ГП № 4-2025.pdf,open
CONTR_614,,,contradicts,,ГП № 4-2025.pdf,open
CONTR_615,,,contradicts,,ГП № 4-2025.pdf,open
CONTR_616,,,contradicts,Двоякое мнение о цифровой трансформации в горно-металлургическом секторе,ГП № 4-2025.pdf,open
CONTR_617,,,contradicts,Двойственная роль государственной политики в цифровой трансформации,ГП № 4-2025.pdf,open
CONTR_618,,,contradicts,,ГП № 4-2025.pdf,open
CONTR_619,,,contradicts,,ГП № 4-2025.pdf,open
CONTR_620,,,contradicts,"Стандарт не является нормативно-правовым документом, но компании всё равно вносятся в базу данных ЭКГ-рейтинга по умолчанию.",ГП № 4-2025.pdf,open
CONTR_621,,,contradicts,,ГП № 4-2025.pdf,open
CONTR_622,,,contradicts,,ГП № 4-2025.pdf,open
CONTR_623,,,contradicts,Отсутствие комплексного подхода для решения вопросов транспортного планирования,ГП № 4-2025.pdf,open
CONTR_624,,,contradicts,Противоречие между высокой стоимостью и низкой надежностью теплоизоляционных материалов,ГП № 4-2025.pdf,open
CONTR_625,,,contradicts,"Повышение температуры газов в цилиндре, вызванное теплоизолирующей вставкой, повышает полноту сгорания топлива, тем самым увеличивая эффективный КПД двигателя, но при этом происходит снижение коэффициента избытка воздуха",ГП № 4-2025.pdf,open
CONTR_626,,,contradicts,Широкое распространение дизельных двигателей с частичной теплоизоляцией камеры сгорания сдерживается из-за большей стоимости и невысокой надежности материалов теплоизоляции,ГП № 4-2025.pdf,open
CONTR_627,,,contradicts,,ГП № 4-2025.pdf,open
CONTR_628,,,contradicts,Необходимость подбора материала с оптимальным сочетанием свойств и характеристик для теплоизоляции камеры сгорания,ГП № 4-2025.pdf,open
CONTR_629,,,contradicts,,ГП № 4-2025.pdf,open
CONTR_630,,,contradicts,,ГП № 4-2025.pdf,open
